Date,Open,High,Low,Close,Adj Close,Volume
6/24/19,84.779999,85.330002,84.639999,84.709999,83.350471,4531600
6/25/19,84.940002,85.449997,84.239998,84.239998,82.888008,4915300
6/26/19,84.050003,84.370003,82.629997,82.959999,81.628563,5731400
6/27/19,83.389999,83.980003,83.07,83.690002,82.346848,4111600
6/28/19,83.82,84.260002,83.120003,84.099998,82.750259,16436700
7/1/19,84.739998,84.980003,83.75,84.489998,83.134003,4527600
7/2/19,84.75,84.959999,84.150002,84.949997,83.586617,4023300
7/3/19,85.050003,85.650002,84.919998,85.639999,84.265549,2437500
7/5/19,85.160004,85.5,84.639999,85.419998,84.049072,3784700
7/8/19,85.279999,85.279999,84.690002,85.089996,83.724373,3591100
7/9/19,84.959999,85.370003,84.82,85.269997,83.901482,3126000
7/10/19,85.68,85.879997,85.150002,85.379997,84.00972,4315900
7/11/19,85.650002,85.989998,85.190002,85.769997,84.393456,3653600
7/12/19,85.279999,85.440002,83.059998,83.919998,82.882378,5667200
7/15/19,83.809998,84.239998,83.410004,83.809998,82.773735,5177700
7/16/19,84.110001,84.239998,82.900002,83.160004,82.131775,3886700
7/17/19,85.889999,86.75,85.43,85.760002,84.699631,9381400
7/18/19,86.239998,87.839996,85.32,87.760002,86.674904,8311600
7/19/19,88.290001,88.330002,87.449997,87.489998,86.408241,5824000
7/22/19,87.360001,88.709999,87.269997,88.07,86.981064,6566100
7/23/19,88.099998,88.760002,87.529999,88.739998,87.642776,4049100
7/24/19,88.449997,88.690002,87.589996,88.589996,87.494629,3879100
7/25/19,88.269997,88.470001,87.739998,88,86.911926,4671200
7/26/19,88.349998,88.620003,87.300003,87.75,86.665024,4177700
7/29/19,88.059998,88.620003,87.379997,88.550003,87.455132,3623900
7/30/19,88.18,88.730003,87.849998,88.309998,87.218102,2864700
7/31/19,88.18,88.400002,86.370003,87.099998,86.023056,6197200
8/1/19,87.18,88.059998,85.639999,86.080002,85.015678,7022000
8/2/19,85.949997,86.199997,84.739998,85.82,84.758888,4756400
8/5/19,84.730003,84.879997,82.419998,83.160004,82.131775,6253800
8/6/19,83.809998,84.889999,83.68,84.860001,83.810753,4422500
8/7/19,83.800003,85,82.309998,84.599998,83.55397,5502600
8/8/19,85.110001,86.269997,85.010002,85.559998,84.502098,6439300
8/9/19,85.629997,87.050003,85.43,86.620003,85.548996,5102700
8/12/19,86.389999,86.510002,84.330002,84.660004,83.613235,3490500
8/13/19,85.32,87.099998,84.980003,86.889999,85.815659,4808300
8/14/19,85.879997,86.309998,83.910004,83.940002,82.902138,4106200
8/15/19,84.160004,84.730003,83.519997,83.940002,82.902138,4952600
8/16/19,84.739998,85.080002,84.269997,84.779999,83.731743,5786300
8/19/19,85.790001,86.129997,85.330002,85.559998,84.502098,4579800
8/20/19,85.949997,86.010002,84.480003,84.540001,83.49472,3322400
8/21/19,85.050003,85.150002,84.290001,84.900002,83.850266,3894300
8/22/19,84.919998,85.309998,83.639999,84.370003,83.32682,3207000
8/23/19,83.839996,84.25,81.360001,81.93,80.916985,6228400
8/26/19,82.610001,83.18,82.019997,83.120003,82.09227,3521200
8/27/19,83.82,84.199997,83.220001,83.650002,82.615723,4845200
